Unnamed: 0,Timestamp,Unnamed: 2,TimeUS,GPS_ID,Status,GMS,GWk,Nstats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
182769,26:55.4,GPS,166585006,0,6,156433400,2401,10,1.21,-35.3628073,149.1661034,634.1,4.811,177.3774,0.0,0,1
183237,26:55.6,GPS,166784926,0,6,156433600,2401,10,1.21,-35.3628159,149.1661039,634.11,4.81,177.3659,0.0,0,1
183593,26:55.8,GPS,166984846,0,6,156433800,2401,10,1.21,-35.3628245,149.1661044,634.11,4.768,177.3827,-0.009000001,0,1
183952,26:56.0,GPS,167184766,0,6,156434000,2401,10,1.21,-35.3628329,149.1661049,634.11,4.606,177.4573,-0.021,0,1
184006,26:56.0,GPS,167224750,1,1,0,0,0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0
184309,26:56.2,GPS,167384686,0,6,156434200,2401,10,1.21,-35.362841,149.1661052,634.11,4.323,177.5979,-0.023,0,1
184672,26:56.4,GPS,167584606,0,6,156434400,2401,10,1.21,-35.3628484,149.1661057,634.12,3.97,177.7835,-0.015,0,1
185031,26:56.6,GPS,167785359,0,6,156434600,2401,10,1.21,-35.3628552,149.1661059,634.12,3.571,177.9902,-0.004,0,1
185387,26:56.8,GPS,167985279,0,6,156434800,2401,10,1.21,-35.3628613,149.1661062,634.12,3.16,178.1909,0.008,0,1
185746,26:57.0,GPS,168185199,0,6,156435000,2401,10,1.21,-35.3628665,149.1661064,634.12,2.787,178.3326,0.017,0,1
186102,26:57.2,GPS,168385119,0,6,156435200,2401,10,1.21,-35.3628713,149.1661065,634.11,2.486,178.3116,0.021,0,1
186464,26:57.4,GPS,168585039,0,6,156435400,2401,10,1.21,-35.3628755,149.1661068,634.11,2.276,178.0728,0.02,0,1
186821,26:57.6,GPS,168784959,0,6,156435600,2401,10,1.21,-35.3628795,149.1661069,634.1,2.167,177.6961,0.018,0,1
187177,26:57.8,GPS,168984879,0,6,156435800,2401,10,1.21,-35.3628834,149.1661071,634.1,2.163,177.3048,0.015,0,1
187536,26:58.0,GPS,169184799,0,6,156436000,2401,10,1.21,-35.3628874,149.1661073,634.1,2.261,176.9796,0.013,0,1
187890,26:58.2,GPS,169384719,0,6,156436200,2401,10,1.21,-35.3628916,149.1661076,634.09,2.445,176.7431,0.01,0,1
188252,26:58.4,GPS,169584639,0,6,156436400,2401,10,1.21,-35.3628962,149.166108,634.09,2.685,176.5855,0.007,0,1
188609,26:58.6,GPS,169785392,0,6,156436600,2401,10,1.21,-35.3629012,149.1661083,634.09,2.947,176.491,0.003,0,1
188964,26:58.8,GPS,169985312,0,6,156436800,2401,10,1.21,-35.3629068,149.1661088,634.09,3.207,176.444,0.0,0,1
