,Timestamp,,TimeUS,GPS_ID,Status,GMS,GWk,Nstats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
32257,25:31.4,GPS,82585286,0,6,156349400,2401,10,1.21,-35.3632617,149.1652375,593.96,0.039,206.162,0.003,0,1
32615,25:31.6,GPS,82785206,0,6,156349600,2401,10,1.21,-35.3632617,149.1652375,593.96,0.035,209.3456,-0.011,0,1
32669,25:31.6,GPS,82825190,1,1,0,0,0,-0.01,0,0,0,0,0,0,0,0
32972,25:31.8,GPS,82985126,0,6,156349800,2401,10,1.21,-35.3632618,149.1652375,593.97,0.031,213.7281,-0.019,0,1
33328,25:32.0,GPS,83185046,0,6,156350000,2401,10,1.21,-35.3632619,149.1652374,593.97,0.027,219.2107,-0.023,0,1
33684,25:32.2,GPS,83384966,0,6,156350200,2401,10,1.21,-35.3632619,149.1652374,593.98,0.022,226.0287,-0.024,0,1
34044,25:32.4,GPS,83584886,0,6,156350400,2401,10,1.21,-35.3632619,149.1652373,593.98,0.019,234.5523,-0.025,0,1
34402,25:32.6,GPS,83784806,0,6,156350600,2401,10,1.21,-35.363262,149.1652373,593.99,0.016,244.7711,-0.026,0,1
34756,25:32.8,GPS,83984726,0,6,156350800,2401,10,1.21,-35.363262,149.1652373,593.99,0.013,256.0342,-0.026,0,1
35113,25:33.0,GPS,84184646,0,6,156351000,2401,10,1.21,-35.363262,149.1652373,594,0.012,267.546,-0.026,0,1
35469,25:33.2,GPS,84385399,0,6,156351200,2401,10,1.21,-35.363262,149.1652372,594,0.011,278.3895,-0.026,0,1
35829,25:33.4,GPS,84585319,0,6,156351400,2401,10,1.21,-35.363262,149.1652372,594.01,0.011,287.884,-0.024,0,1
36187,25:33.6,GPS,84785239,0,6,156351600,2401,10,1.21,-35.363262,149.1652372,594.01,0.011,295.3766,-0.022,0,1
36541,25:33.8,GPS,84985159,0,6,156351800,2401,10,1.21,-35.363262,149.1652372,594.02,0.011,300.9875,-0.019,0,1
36897,25:34.0,GPS,85185079,0,6,156352000,2401,10,1.21,-35.363262,149.1652371,594.02,0.011,305.2409,-0.016,0,1
37254,25:34.2,GPS,85384999,0,6,156352200,2401,10,1.21,-35.363262,149.165237,594.02,0.011,308.1741,-0.013,0,1
37614,25:34.4,GPS,85584919,0,6,156352400,2401,10,1.21,-35.363262,149.165237,594.03,0.01,310.1516,-0.011,0,1
37971,25:34.6,GPS,85784839,0,6,156352600,2401,10,1.21,-35.363262,149.165237,594.03,0.009000001,313.3569,-0.009000001,0,1
38326,25:34.8,GPS,85984759,0,6,156352800,2401,10,1.21,-35.363262,149.165237,594.03,0.008,320.0383,-0.009000001,0,1
38682,25:35.0,GPS,86184679,0,6,156353000,2401,10,1.21,-35.363262,149.165237,594.03,0.007,329.8817,-0.01,0,1
39038,25:35.2,GPS,86384599,0,6,156353200,2401,10,1.21,-35.363262,149.165237,594.04,0.005,343.5707,-0.012,0,1
39400,25:35.4,GPS,86585352,0,6,156353400,2401,10,1.21,-35.363262,149.165237,594.04,0.004,2.33237,-0.013,0,1
39756,25:35.6,GPS,86785272,0,6,156353600,2401,10,1.21,-35.3632619,149.165237,594.04,0.004,21.3141,-0.014,0,1
39837,25:35.7,GPS,86845248,1,1,0,0,0,-0.01,0,0,0,0,0,0,0,0
40115,25:35.8,GPS,86985192,0,6,156353800,2401,10,1.21,-35.3632619,149.165237,594.04,0.004,34.8786,-0.013,0,1
40471,25:36.0,GPS,87185112,0,6,156354000,2401,10,1.21,-35.3632619,149.165237,594.05,0.004,45.30587,-0.011,0,1
40832,25:36.2,GPS,87385032,0,6,156354200,2401,10,1.21,-35.3632619,149.165237,594.05,0.005,54.74301,-0.009000001,0,1
41192,25:36.4,GPS,87584952,0,6,156354400,2401,10,1.21,-35.3632619,149.165237,594.05,0.002,34.3382,-0.011,0,1
41547,25:36.6,GPS,87784872,0,6,156354600,2401,10,1.21,-35.3632619,149.165237,594.05,0.018,270.3372,-0.02,0,1
41904,25:36.8,GPS,87984792,0,6,156354800,2401,10,1.21,-35.3632619,149.165237,594.06,0.06900001,266.8192,-0.041,0,1
42260,25:37.0,GPS,88184712,0,6,156355000,2401,10,1.21,-35.3632619,149.1652367,594.07,0.155,266.4869,-0.074,0,1
42616,25:37.2,GPS,88384632,0,6,156355200,2401,10,1.21,-35.3632619,149.1652363,594.08,0.272,266.4733,-0.12,0,1
