,Timestamp,,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
6341,25:17.0,IMU,68165223,0,0.000996866,0.000993582,0.00098806,-0.001201982,-0.001526538,-9.818034,0,0,28.96299,1,1,1000,1000
6342,25:17.0,IMU,68165223,1,0.001167787,0.000911885,0.001005118,-0.003794995,-0.001632873,-9.816339,0,0,28.96299,1,1,760,800
6396,25:17.0,IMU,68205207,0,0.000913391,0.000886414,0.000947822,-0.00124207,-0.001451365,-9.818192,0,0,28.96513,1,1,1000,1000
6397,25:17.0,IMU,68205207,1,0.000944235,0.001094018,0.000866544,-0.001995833,-0.000988733,-9.818448,0,0,28.96513,1,1,760,800
6490,25:17.1,IMU,68245191,0,0.000943626,0.000989825,0.000944425,-0.002024777,-0.000970252,-9.816414,0,0,28.96727,1,1,1000,1000
6491,25:17.1,IMU,68245191,1,0.001135364,0.000833077,0.000990729,0.000658905,-0.00167173,-9.816201,0,0,28.96727,1,1,760,800
6542,25:17.1,IMU,68285175,0,0.000933826,0.000905648,0.000948272,-0.001066882,-0.001102005,-9.817375,0,0,28.96941,1,1,1000,1000
6543,25:17.1,IMU,68285175,1,0.000950452,0.000824728,0.001141521,-0.00090388,-0.001884711,-9.81768,0,0,28.96941,1,1,760,800
6595,25:17.1,IMU,68325159,0,0.000935264,0.000999603,0.000954604,-0.001495496,9.13453E-05,-9.817055,0,0,28.97154,1,1,1000,1000
6596,25:17.1,IMU,68325159,1,0.00111788,0.000999301,0.000919952,-0.00065194,-0.000916984,-9.82088,0,0,28.97154,1,1,760,800
6691,25:17.2,IMU,68365143,0,0.000961868,0.000973032,0.000933344,-0.001656298,-0.001745376,-9.816757,0,0,28.97368,1,1,1000,1000
6692,25:17.2,IMU,68365143,1,0.001021725,0.000904592,0.000821773,-1.35E-05,-0.000310504,-9.816561,0,0,28.97368,1,1,760,800
6746,25:17.2,IMU,68405127,0,0.000909387,0.000965184,0.000985447,-0.001244687,-0.000260314,-9.819212,0,0,28.97582,1,1,1000,1000
6747,25:17.2,IMU,68405127,1,0.000998082,0.000824936,0.001013849,-0.001624051,-0.001040835,-9.817268,0,0,28.97582,1,1,760,800
6841,25:17.3,IMU,68445111,0,0.00094225,0.000945994,0.000964285,-0.0006008,-0.001030006,-9.817255,0,0,28.97795,1,1,1000,1000
6842,25:17.3,IMU,68445111,1,0.001098388,0.00120268,0.00097416,-0.000807338,-9.03E-05,-9.817709,0,0,28.97795,1,1,760,800
6895,25:17.3,IMU,68485095,0,0.000970113,0.000997596,0.000962158,0.000152136,-0.001202316,-9.817108,0,0,28.98009,1,1,1000,1000
6896,25:17.3,IMU,68485095,1,0.00114728,0.000878355,0.000845808,-0.000648714,-0.003347712,-9.81737,0,0,28.98009,1,1,760,800
6948,25:17.3,IMU,68525079,0,0.000931286,0.000931888,0.001017134,-0.000494106,-0.001023452,-9.817413,0,0,28.98223,1,1,1000,1000
6949,25:17.3,IMU,68525079,1,0.001222712,0.00108585,0.000976343,-0.00082695,-0.000968884,-9.81739,0,0,28.98223,1,1,760,800
7045,25:17.4,IMU,68565063,0,0.000956302,0.000938791,0.000847325,-0.00194479,-0.000716632,-9.817289,0,0,28.98442,1,1,1000,1000
7046,25:17.4,IMU,68565063,1,0.001037385,0.00095306,0.001051667,0.000225065,-0.001644861,-9.821029,0,0,28.98442,1,1,760,800
7102,25:17.4,IMU,68605047,0,0.0008936,0.00102131,0.000921391,-0.001447353,-0.00038953,-9.81738,0,0,28.98655,1,1,1000,1000
7103,25:17.4,IMU,68605047,1,0.001058568,0.00082857,0.000905157,-0.00260298,0.001296742,-9.816888,0,0,28.98655,1,1,760,800
7195,25:17.5,IMU,68645031,0,0.000931189,0.000978315,0.000956455,-0.002405967,-0.001590189,-9.817059,0,0,28.98869,1,1,1000,1000
7196,25:17.5,IMU,68645031,1,0.00095622,0.000933158,0.00094782,6.104748E-05,-0.003062026,-9.819316,0,0,28.98869,1,1,760,800
7247,25:17.5,IMU,68685015,0,0.000891674,0.000911045,0.000985866,-0.001805049,0.000356885,-9.817082,0,0,28.99082,1,1,1000,1000
7248,25:17.5,IMU,68685015,1,0.000798556,0.000981585,0.001003989,0.001836986,-0.001205591,-9.816536,0,0,28.99082,1,1,760,800
7300,25:17.5,IMU,68724999,0,0.000959214,0.00101673,0.000989492,-0.001132426,-0.000251296,-9.81711,0,0,28.9929,1,1,1000,1000
7301,25:17.5,IMU,68724999,1,0.000956527,0.001153352,0.001094074,0.00088452,0.001350494,-9.819389,0,0,28.9929,1,1,760,800
7396,25:17.6,IMU,68764983,0,0.000986714,0.001056548,0.000901749,-0.00046359,-0.000451924,-9.817963,0,0,28.99504,1,1,1000,1000
