,Timestamp,,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
4414,55:22.0,IMU,46244828,0,0.000614896,0.000633064,0.000578491,-0.000882989,-0.001609191,-9.817179,0,0,27.74735,1,1,1000,1000
4415,55:22.0,IMU,46244828,1,0.000511101,0.000697803,0.000711824,-0.000405017,0.000624353,-9.818973,0,0,27.74735,1,1,760,800
4466,55:22.1,IMU,46284812,0,0.000593152,0.000692419,0.000530763,-0.000883212,-0.000364982,-9.817086,0,0,27.74965,1,1,1000,1000
4467,55:22.1,IMU,46284812,1,0.00057731,0.000438198,0.000711908,-0.000696888,-0.000411361,-9.816799,0,0,27.74965,1,1,760,800
4519,55:22.1,IMU,46324796,0,0.00058026,0.000573415,0.000607602,-0.001344232,7.185257E-05,-9.817587,0,0,27.75195,1,1,1000,1000
4520,55:22.1,IMU,46324796,1,0.0004376,0.00050728,0.000607985,0.000485416,-0.001291289,-9.818367,0,0,27.75195,1,1,760,800
4614,55:22.2,IMU,46364780,0,0.000578037,0.000645206,0.000675122,-0.00107082,-0.000812135,-9.817329,0,0,27.75425,1,1,1000,1000
4615,55:22.2,IMU,46364780,1,0.000534983,0.000521313,0.000717496,4.675498E-05,0.0003075,-9.81655,0,0,27.75425,1,1,760,800
4671,55:22.2,IMU,46404764,0,0.000572478,0.00067263,0.000593283,-0.000799453,-0.001126733,-9.818096,0,0,27.75655,1,1,1000,1000
4672,55:22.2,IMU,46404764,1,0.000336382,0.00064867,0.000315813,0.000305912,-0.000627742,-9.816916,0,0,27.75655,1,1,760,800
4767,55:22.2,IMU,46444748,0,0.000666589,0.000584449,0.000644212,-0.001809633,-0.001728104,-9.817657,0,0,27.75885,1,1,1000,1000
4768,55:22.2,IMU,46444748,1,0.000340101,0.000676137,0.000865103,-0.002490551,-0.001384697,-9.817794,0,0,27.75885,1,1,760,800
4820,55:22.3,IMU,46484732,0,0.000597229,0.000770974,0.000584019,-0.001456725,-0.001189961,-9.817753,0,0,27.76115,1,1,1000,1000
4821,55:22.3,IMU,46484732,1,0.000673557,0.000702423,0.000600709,-3.96E-05,0.00076041,-9.818662,0,0,27.76115,1,1,760,800
4873,55:22.3,IMU,46524716,0,0.000586602,0.000642197,0.000649452,-0.000713138,-0.001487057,-9.817367,0,0,27.76345,1,1,1000,1000
4874,55:22.3,IMU,46524716,1,0.000637952,0.000475415,0.000512573,-0.001342945,-0.001722642,-9.81801,0,0,27.76345,1,1,760,800
4971,55:22.4,IMU,46564700,0,0.000641723,0.000635765,0.000712639,-0.001107594,-0.000976009,-9.817788,0,0,27.76575,1,1,1000,1000
4972,55:22.4,IMU,46564700,1,0.00055364,0.001022995,0.000727878,-0.00210308,-0.001821485,-9.815056,0,0,27.76575,1,1,760,800
5025,55:22.4,IMU,46604684,0,0.000638881,0.000620016,0.000684387,-0.001484139,-0.001337311,-9.815849,0,0,27.76804,1,1,1000,1000
5026,55:22.4,IMU,46604684,1,0.000619655,0.000513026,0.000577446,0.000675804,-4.25E-05,-9.815995,0,0,27.76804,1,1,760,800
5119,55:22.4,IMU,46644668,0,0.000636629,0.000640655,0.000629024,-0.001290254,-0.001290274,-9.817911,0,0,27.77034,1,1,1000,1000
5120,55:22.4,IMU,46644668,1,0.000722083,0.000630649,0.000633496,-0.000703002,-0.002339723,-9.81896,0,0,27.77034,1,1,760,800
5173,55:22.5,IMU,46684652,0,0.000586465,0.000650046,0.000684382,-0.00068602,-0.001405913,-9.817844,0,0,27.77264,1,1,1000,1000
5174,55:22.5,IMU,46684652,1,0.000461406,0.000595647,0.000790755,0.000364612,-0.002059584,-9.816741,0,0,27.77264,1,1,760,800
5225,55:22.5,IMU,46724636,0,0.00068855,0.000631212,0.000621203,-0.0002953,-0.000584306,-9.817656,0,0,27.77493,1,1,1000,1000
5226,55:22.5,IMU,46724636,1,0.000578291,0.000924421,0.000524013,-0.00109193,-0.001769038,-9.816337,0,0,27.77493,1,1,760,800
5320,55:22.6,IMU,46764620,0,0.00058983,0.000714681,0.000689595,0.000313908,-0.000190249,-9.818106,0,0,27.77723,1,1,1000,1000
5321,55:22.6,IMU,46764620,1,0.000797033,0.000690501,0.000480471,0.000470439,-0.001984993,-9.815664,0,0,27.77723,1,1,760,800
5376,55:22.6,IMU,46804604,0,0.000591236,0.000669333,0.000618465,-4.01E-05,-0.001293973,-9.817011,0,0,27.77953,1,1,1000,1000
5377,55:22.6,IMU,46804604,1,0.000694856,0.000671706,0.000723143,-0.000682592,0.000481249,-9.815656,0,0,27.77953,1,1,760,800
5469,55:22.6,IMU,46844588,0,0.000599973,0.000616871,0.000665908,-0.00023101,-0.000203292,-9.817122,0,0,27.78182,1,1,1000,1000
5470,55:22.6,IMU,46844588,1,0.000555436,0.000506433,0.000453132,-0.002645249,-0.000898609,-9.814888,0,0,27.78182,1,1,760,800
5522,55:22.7,IMU,46885405,0,0.000663256,0.00065729,0.000656053,-0.000619766,-0.001548444,-9.818385,0,0,27.78418,1,1,1000,1000
5523,55:22.7,IMU,46885405,1,0.000704816,0.000689632,0.000386188,-0.001084879,-0.000858116,-9.817874,0,0,27.78412,1,1,760,800
5575,55:22.7,IMU,46925389,0,0.000688349,0.000610783,0.00061524,-0.000684201,-0.00052555,-9.817415,0,0,27.78647,1,1,1000,1000
5576,55:22.7,IMU,46925389,1,0.000690502,0.000875255,0.000602681,-0.002638829,-0.000968338,-9.816052,0,0,27.78642,1,1,760,800
5670,55:22.8,IMU,46965373,0,0.000569873,0.000700298,0.000644013,-0.000481705,-0.001268511,-9.816938,0,0,27.78877,1,1,1000,1000
5671,55:22.8,IMU,46965373,1,0.00045286,0.000604831,0.000589413,-0.001928775,-0.001379411,-9.815571,0,0,27.78871,1,1,760,800
