,Timestamp,,TimeUS,GPS_ID,Status,GMS,GWk,Nstats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
24041,55:33.0,GPS,57184617,0,6,168951000,2401,10,1.21,-35.3632607,149.165237,590.74,0.027,74.55607,-1.873,0,1
24401,55:33.2,GPS,57385370,0,6,168951200,2401,10,1.21,-35.3632607,149.1652371,591.1,0.03,87.8026,-1.758,0,1
24767,55:33.4,GPS,57585290,0,6,168951400,2401,10,1.21,-35.3632607,149.1652372,591.44,0.033,99.26536,-1.648,0,1
25125,55:33.6,GPS,57785210,0,6,168951600,2401,10,1.21,-35.3632608,149.1652372,591.76,0.036,109.3661,-1.544,0,1
25483,55:33.8,GPS,57985130,0,6,168951800,2401,10,1.21,-35.3632608,149.1652373,592.06,0.038,119.1813,-1.442,0,1
25844,55:34.0,GPS,58185050,0,6,168952000,2401,10,1.21,-35.3632608,149.1652374,592.33,0.039,128.601,-1.342,0,1
26203,55:34.2,GPS,58384970,0,6,168952200,2401,10,1.21,-35.3632608,149.1652375,592.59,0.039,137.1786,-1.241,0,1
26568,55:34.4,GPS,58584890,0,6,168952400,2401,10,1.21,-35.3632608,149.1652375,592.83,0.038,145.0946,-1.139,0,1
26801,55:34.5,GPS,58724834,1,1,0,0,0,-0.01,0,0,0,0,0,0,0,0
26930,55:34.6,GPS,58784810,0,6,168952600,2401,10,1.21,-35.3632609,149.1652375,593.05,0.037,153.0797,-1.035,0,1
27288,55:34.8,GPS,58984730,0,6,168952800,2401,10,1.21,-35.3632609,149.1652375,593.25,0.037,161.2153,-0.9300001,0,1
27650,55:35.0,GPS,59184650,0,6,168953000,2401,10,1.21,-35.363261,149.1652376,593.42,0.036,168.8549,-0.822,0,1
28008,55:35.2,GPS,59385403,0,6,168953200,2401,10,1.21,-35.363261,149.1652377,593.58,0.036,175.8811,-0.712,0,1
28373,55:35.4,GPS,59585323,0,6,168953400,2401,10,1.21,-35.3632611,149.1652377,593.71,0.035,182.2962,-0.598,0,1
28731,55:35.6,GPS,59785243,0,6,168953600,2401,10,1.21,-35.3632611,149.1652376,593.82,0.034,187.8332,-0.479,0,1
29089,55:35.8,GPS,59985163,0,6,168953800,2401,10,1.21,-35.3632612,149.1652375,593.9,0.033,192.5611,-0.351,0,1
29449,55:36.0,GPS,60185083,0,6,168954000,2401,10,1.21,-35.3632613,149.1652375,593.95,0.032,196.8381,-0.215,0,1
29809,55:36.2,GPS,60385003,0,6,168954200,2401,10,1.21,-35.3632614,149.1652375,593.99,0.031,199.7762,-0.09100001,0,1
30178,55:36.4,GPS,60584923,0,6,168954400,2401,10,1.21,-35.3632614,149.1652375,594,0.032,200.155,-0.003,0,1
30536,55:36.6,GPS,60784843,0,6,168954600,2401,10,1.21,-35.3632615,149.1652375,593.99,0.035,198.8093,0.04,0,1
30892,55:36.8,GPS,60984763,0,6,168954800,2401,10,1.21,-35.3632615,149.1652375,593.98,0.036,197.2621,0.051,0,1
31249,55:37.0,GPS,61184683,0,6,168955000,2401,10,1.21,-35.3632616,149.1652375,593.97,0.037,196.2147,0.04,0,1
31604,55:37.2,GPS,61384603,0,6,168955200,2401,10,1.21,-35.3632616,149.1652375,593.96,0.037,196.1088,0.022,0,1
31966,55:37.4,GPS,61585356,0,6,168955400,2401,10,1.21,-35.3632617,149.1652375,593.96,0.035,197.399,0.003,0,1
32322,55:37.6,GPS,61785276,0,6,168955600,2401,10,1.21,-35.3632617,149.1652375,593.96,0.032,200.7168,-0.01,0,1
32677,55:37.8,GPS,61985196,0,6,168955800,2401,10,1.21,-35.3632618,149.1652375,593.97,0.028,206.8863,-0.018,0,1
